(170) Public Law 95-224 Federal Grant and Cooperative Agreement Act;",
,GRMGeneralEligibleApplicantBusinessTypeCode,A code denoting the non-Federal legal entity type that the Federal agency has deemed eligible to apply for a specified funding opportunity.,"(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(134) 2 CFR Appendix I to Part 200;","Domestic Local Government (Includes territories unless otherwise specified);
For-Profit Organization;
Foreign Government;
Foreign Non-Governmental Entity (not including Foreign Non-Profit);
Indian/Native American Tribal Government (Federally-Recognized);
Indian/Native American Tribal Government (Other than Federally-Recognized);
International Organization;
Nonprofit with 501C3 IRS Status;
Nonprofit without 501C3 IRS Status (including Foreign Non-Profit);
Private Educational Institution;
Public/State Controlled Institution;
Special District Governments or Interstate Entity;
U.S. Federal Government;
U.S. State Government (including The District of Columbia);
U.S. Territory (or Possession) Government (including freely-associated states);"
,GRMGeneralEligibleApplicantBusinessTypeCharacteristicsTypeCode,A collection of codes denoting the attributes further defining the non-Federal legal entity that the Federal agency has deemed eligible to apply for a specified funding opportunity.,"(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(134) 2 CFR Appendix I to Part 200;","1862 Land Grant College;
1890 Land Grant College;
1994 Land Grant College;
AbilityOne Non-Profit Agency;
Accredited/Not accredited;
Alaskan Native  Serving Institution;
Alaskan Native Corporation Owned Firm;
Asian-Pacific American Owned Business;
Black American Owned;
Community Development Corporation Owned Firm;
Community Development Corporation;
DOT Certified Disadvantaged Business Enterprise (DBE);
Domestic Shelter;
Economically Disadvantaged Women Small Owned Business;
Federally Funded Research and Development Center;
Foundation;
Hispanic American Owned;
Hispanic-serving Institution;
Historically Black College or University (HBCU);
Hospital;
Independent research institute;
Indian/Native American Tribal Designated Organization;
Joint Venture Economically Disadvantaged Women Small Owned Business;
Joint Venture Women Owned Small Business;
Labor Surplus Area Firm;
Local Government Owned;
Manufacturer of Goods;
Minority Institution;
Minority Owned Business;
Native American Owned;
Native Hawaiian Organization Owned Firm;
Native Hawaiian Servicing Institution;
Nonprofit research organization;
SBA Certified 8(a) Joint Venture;
SBA Certified 8(a) Program Participant;
SBA Certified Hub Zone Firm;
SBA Certified Small Disadvantaged Business;
School of Forestry;
Self Certified HUBZone Joint Venture;
Self Certified Small Disadvantaged Business;
Service Disabled Veteran Owned Business;
Small Agricultural Cooperative;
Small Business;
Subcontinent Asian (Asian-Indian) American Owned Business;
Tribally Controlled College or University (TCCU);
Tribally Owned Firm;
Veteran Owned Business;
Veterinary College;
Veterinary Hospital;
Woman Owned Business;
Woman Owned Small Business;"
,GRMEligibilityOtherCriteriaTypeCode,"A code enumerating the considerations or factors that determine applicant or application for an award eligibility for the specified funding opportunity (e.g., cost sharing, cost matching, other). (compiled from 134)","(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(134) 2 CFR Appendix I to Part 200;","cost matching;
cost participation;
cost sharing;
other;"
,GRMEligibilityOtherCriteriaText,"A description of the considerations or factors that determine applicant or application for an award eligibility for the specified funding opportunity (e.g., criteria that have the effect of making an application or project ineligible for Federal awards, whether referred to as “responsiveness” criteria, “go-no go” criteria, “threshold” criteria, ""disqualification factors"", or in other ways). This section should also address any eligibility criteria for beneficiaries or for program participants other than Federal award recipients. (134, augmented)","(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(134) 2 CFR Appendix I to Part 200;",
,GrantAwardInstrumentTypeCode,"A code denoting the type of Federal financial assistance provided by the award, such as a grant or cooperative agreement. (187, augmented)","(18) 2 CFR 200.201;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(39) 2 CFR 200.308;
(91) 2 CFR 200.45;
(92) 2 CFR 200.450;
(134) 2 CFR Appendix I to Part 200;
(187) DAIMS D2 V2;
(198) USASpending.gov Data Dictionary;","Cooperative Agreement;
Grant;"
,GrantAwardInstrumentCharacteristicsTypeCode,"A collection of codes specifying characteristics of the award instrument such as formula grant, fixed amount award, and block grant.","(18) 2 CFR 200.201;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(27) 2 CFR 200.210;
(39) 2 CFR 200.308;
(91) 2 CFR 200.45;
(92) 2 CFR 200.450;
(134) 2 CFR Appendix I to Part 200;","Block Grant;
Fixed Amount Award;
Formula Grant;
Project Grant;"
,CFDATitleName,"A Federal financial assistance Program title of the area of work under which the Federal award was funded in the Assistance Listing. (187, augmented)","(15) 2 CFR 200.10;
(16) 2 CFR 200.11;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(39) 2 CFR 200.308;
(98) 2 CFR 200.511;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(190) CDER;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(232) 2 CFR 200.519;
(259) 2 CFR 200, Appendix X;",
,CFDANumber,A unique number assigned to identify a Federal financial assistance program in the Assistance Listing. (compiled from 187),"(15) 2 CFR 200.10;
(16) 2 CFR 200.11;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(39) 2 CFR 200.308;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(190) CDER;
(197) SF-LLL (Rev. 7-97) Disclosure of Lobbying Activities;
(198) USASpending.gov Data Dictionary;
(199) SF-424;
(209) SF-424A;
(218) Project/Performance Site Location(s);
(221) SF-SAC;
(222) FAC Data Dictionary;
(223) 2 CFR 200.510;
(232) 2 CFR 200.519;
(259) 2 CFR 200, Appendix X;",
,GrantAwardPerformanceMeasureIdentifier,"A number or label used to identify a particular performance measure and associate the measure with specific awarding Federal agency program goals, objectives or program/priority areas. (202)","(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(32) 2 CFR 200.301;
(56) 2 CFR 200.328;
(202) PERFORMANCE PROGRESS REPORT OMB Approval Number:  Performance Measures SF-PPR-A;",
,GrantAwardPerformanceMeasureText,"A narrative describing the actual performance measure against which project/award progress and award activities can be measured. This can be quantitative or qualitative. For example, it can include counts, percentages, targeted dates, time periods, levels, milestones or indicators. It could also describe an accomplishment, a product, a condition, a result, or a status. (202, augmented)","(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(56) 2 CFR 200.328;
(202) PERFORMANCE PROGRESS REPORT OMB Approval Number:  Performance Measures SF-PPR-A;",
,GrantAwardPerformanceMeasureBaselineMeasurementText,A description indicating the initial starting point or average amount or condition related to each measure. (202),"(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(32) 2 CFR 200.301;
(56) 2 CFR 200.328;
(202) PERFORMANCE PROGRESS REPORT OMB Approval Number:  Performance Measures SF-PPR-A;",
,GrantProgramFormulaCalculationText,"A description of the calculation(s)/algorithm(s) used to determine distribution funding for formula grants as prescribed by law or administrative regulation. (190, augmented)","(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(190) CDER;",
,GrantProgramOutcomeText,A description of the intended results of the program.,"(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(232) 2 CFR 200.519;",
,GrantAwardFundingOpportunityIndirectCostRateReimbursementPolicyText,"A reference to the Federal or Federal agency-specific policy on indirect cost rate reimbursement applicable to the program, including any limitations or exclusions as to types or amount of cost items.","(20) 2 CFR 200.203;
(27) 2 CFR 200.210;
(79) 2 CFR 200.414;
(134) 2 CFR Appendix I to Part 200;",
,GrantProgramDescriptionText,"A description, including the purpose, of the grant program that is established based on authorizing legislation from which funding opportunities are developed.","(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(232) 2 CFR 200.519;",
,GrantProgramPriorityText,A description of the priority objectives of the program. ,"(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(232) 2 CFR 200.519;",
,GrantProgramGoalText,A description of the goals of the program.,"(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(232) 2 CFR 200.519;",
,GRMFundingAmountTypeCode,"A code denoting valid values describing the funding amount associated with a grant program, funding opportunity or award.","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(195) grants.gov;
(198) USASpending.gov Data Dictionary;
(209) SF-424A;","award average;
award non-federal;
award total;
funding opportunity ceiling;
funding opportunity floor;
program average;
program non-federal;
program total;"
,GRMFundingAmountStatusCode,"A code denoting the status of the funding amount associated with a funding opportunity or award (e.g., requested, budgeted, obligated).","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(68) 2 CFR 200.343;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(187) DAIMS D2 V2;
(195) grants.gov;
(198) USASpending.gov Data Dictionary;
(209) SF-424A;","budgeted;
committed;
deobligated;
obligated;
recommended;
requested;
unobligated;"
,GRMFundingAmount,A dollar amount associated with a funding opportunity or award.,"(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(134) 2 CFR Appendix I to Part 200;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(195) grants.gov;",
,GrantProgramFundingBasisTypeCode,A code denoting whether the funding allocation is discretionary or non-discretionary.,"(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;","discretionary;
non-discretionary;"
,GrantProgramSpendingPlanText,"A plan for spending the budgeted program amount over a specified period of time (e.g., quarterly, biannually, fiscal year).","(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;",
,GRMDateTypeCode,"A code denoting the type of key, or important, date used in the Grants management process. ","(7) 2 CFR 180.155;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(32) 2 CFR 200.301;
(33) 2 CFR 200.302;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(62) 2 CFR 200.338;
(63) 2 CFR 200.339;
(79) 2 CFR 200.414;
(84) 2 CFR 200.419;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(136) 2 CFR Appendix III;
(143) 2 CFR Part 180;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(172) SF-428 Tangible Property Report;
(177) SF-429 (9/2011) Real Property Status Report;
(178) SF-429-A General Reporting;
(179) SF-429-B Request to Acquire, Improve or Furnish;
(180) SF-429-C Disposition of Encumbrance Request;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(190) CDER;
(198) USASpending.gov Data Dictionary;
(201) PERFORMANCE PROGRESS REPORT SF-PPR;
(215) Application for Federal Domestic Assistance- Individual;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(225) RPPR;
(238) 2 CFR 200.507;
(243) https://grants.nih.gov/grants/glossary.htm;
(244) 2 CFR 200.77;
(245) 2 CFR 200.331;
(246) Grants Management Advisory 2011-02;
(247) 2 CFR 180.625;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;","AIDS Application Due;
Advisory Council Review;
Application Due;
Application Provided to Reviewer;
Audit Package Submission;
Audit Past Due;
Audit Report Signed;
Award Action Binding Agreement;
Award Action Issued/Signed;
Corrective Action Expected Completion;
Cost Accounting Effective;
Cost Accounting Period End;
Cost Accounting Period Start;
Disclosure Statement Effective;
Earliest Start;
Earliest Submission;
Executive Order 12372 Due;
Expiration;
Final Report Accepted/Rejected;
Final Report Submitted;
Fiscal Year End;
Fiscal Year Start;
Funding Opportunity Material Release;
Grant Award Termination Effective;
Grant Recipient Suspension Or Debarment Effective;
Grant Recipient Suspension Or Debarment End;
Improvement Plan Action Item Due;
Indirect Cost Base Period End;
Indirect Cost Base Period Start;
Indirect Cost Rate Extension;
Letter of Intent Due;
Performance Period End;
Performance Period Start;
Posted;
Project Budget Period End;
Project Budget Period Start;
Project Participant Residency Start;
Real Property Documentation;
Real Property Federal Interest Period End;
Real Property Federal Interest Period Start;
Real Property Proposed Acquisition;
Report Submitted;
Reporting Period End;
Scientific Merit Review;"
,GRMDate,"A key, or important, date that is used in the Grants management process.","(7) 2 CFR 180.155;
(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(27) 2 CFR 200.210;
(32) 2 CFR 200.301;
(33) 2 CFR 200.302;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(62) 2 CFR 200.338;
(63) 2 CFR 200.339;
(79) 2 CFR 200.414;
(84) 2 CFR 200.419;
(96) 2 CFR 200.501;
(98) 2 CFR 200.511;
(99) 2 CFR 200.512;
(100) 2 CFR 200.513;
(101) 2 CFR 200.515;
(102) 2 CFR 200.516;
(134) 2 CFR Appendix I to Part 200;
(136) 2 CFR Appendix III;
(143) 2 CFR Part 180;
(160) Federal Funding Accountability and Transparency Act of 2006 or Transparency Act—Public Law 109-282, as amended by section 6202(a) of Public Law 110-252 (31 U.S.C. 6101);
(172) SF-428 Tangible Property Report;
(177) SF-429 (9/2011) Real Property Status Report;
(178) SF-429-A General Reporting;
(179) SF-429-B Request to Acquire, Improve or Furnish;
(180) SF-429-C Disposition of Encumbrance Request;
(184) SF-425 - Revised 10/11/2011;
(187) DAIMS D2 V2;
(190) CDER;
(198) USASpending.gov Data Dictionary;
(201) PERFORMANCE PROGRESS REPORT SF-PPR;
(215) Application for Federal Domestic Assistance- Individual;
(217) R & R Subaward Budget Multi-Project 10 YR Subform;
(221) SF-SAC;
(222) FAC Data Dictionary;
(225) RPPR;
(238) 2 CFR 200.507;
(243) https://grants.nih.gov/grants/glossary.htm;
(244) 2 CFR 200.77;
(245) 2 CFR 200.331;
(246) Grants Management Advisory 2011-02;
(247) 2 CFR 180.625;
(248) Cost Accounting Standards Board Disclosure Statement (DS-2);
(257) 2 CFR 200.502;
(259) 2 CFR 200, Appendix X;",
,GRMTime,"A key, or important, time that is used in the Grants management process.",,
,GRMPolicyRequirementText,"A citation or text indicating the public policy, national policy, or Federal statutory and Federal agency-specific policy for which award applicants or award recipients need to certify as part of the grant program or award.","(19) 2 CFR 200.202;
(20) 2 CFR 200.203;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(23) 2 CFR 200.206;
(24) 2 CFR 200.207;
(25) 2 CFR 200.208;
(26) 2 CFR 200.209;
(27) 2 CFR 200.210;
(134) 2 CFR Appendix I to Part 200;",
,GrantProgramIntergovernmentalAgreementText,"An agreement between agencies detailing services and funding allocations (e.g., IAA, MOA, MOU, LOA).",,
,GRMRequestTypeCode,"A code denoting the type of request for action, additional information or approvals as they relate to the grant program, funding opportunity, application for an award, award, or award modification.","(2) 2 CFR 170.100;
(3) 2 CFR 170.110;
(4) 2 CFR 170.115;
(17) 2 CFR 200.18;
(18) 2 CFR 200.201;
(20) 2 CFR 200.203;
(21) 2 CFR 200.204;
(22) 2 CFR 200.205;
(26) 2 CFR 200.209;
(32) 2 CFR 200.301;
(33) 2 CFR 200.302;
(36) 2 CFR 200.305;
(39) 2 CFR 200.308;
(55) 2 CFR 200.327;
(56) 2 CFR 200.328;
(62) 2 CFR 200.338;
(63) 2 CFR 200.339;
(68) 2 CFR 200.343;
(69) 2 CFR 200.344;
(70) 2 CFR 200.345;
(73) 2 CFR 200.407;
(96) 2 CFR 200.501;
(100) 2 CFR 200.513;
(104) 2 CFR 200.521;
(112) 2 CFR 200.73;
(134) 2 CFR Appendix I to Part 200;
(188) 2 CFR 200.458;
(190) CDER;
(225) RPPR;
(255) 2 CFR 200.503;
(256) 2 CFR 200.518;","Adjustment to Negotiated Indirect (F&A) Cost Rates;
Approval to Incur Pre-Award Costs;
Audit Federal Program as Major Program;
Availability of Funds for Commitment for Approved Award Applicant;
Availability of Funds for Commitment for Funding Opportunity;
Award Closeout Extension;
Award Modification;
Award Termination;
Change Type A Program Risk from Low to High;
Extension of Negotiated Indirect (F&A) Cost Rates;
Funding Opportunity Information;
Funds Commitment for Approved Award Applicant;
Funds Commitment for Funding Opportunity;
Funds Disbursement for Award Recipient;
Funds Obligation;
Intra-Agency Funds Transfer;
Justification and Revised Timeline for Past Due Corrective Action(s) for Finding(s);
Liaison Assistance and Advice on Audit;
